budget,popularity,revenue,runtime,vote_average,vote_count,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science_Fiction,Thriller,War,Western,Other_language,de_language,en_language,es_language,fr_language,ja_language,Columbia Pictures,Dune Entertainment,New Line Cinema,Other_company,Paramount Pictures,Relativity Media,Twentieth Century Fox Film Corporation,Universal Pictures,Village Roadshow Pictures,Walt Disney Pictures,Warner Bros.,Canada,France,Germany,Other_country,United Kingdom,United States of America,year,month,day,weekday,day_of_year,gdp
237000000,150.437577,2787965087,162.0,7.2,11800,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2009,12,10,3,344,14478067
300000000,139.082615,961000000,169.0,6.9,4500,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2007,5,19,5,139,14474228
245000000,107.376788,880674609,148.0,6.3,4466,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2015,10,26,0,299,18295019
250000000,112.31295,1084939099,165.0,7.6,9106,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2012,7,16,0,198,16253970
260000000,43.926995,284139100,132.0,6.1,2124,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2012,3,7,2,67,16253970
258000000,115.699814,890871626,139.0,5.9,3576,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2007,5,1,1,121,14474228
260000000,48.681969,591794936,100.0,7.4,3330,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2010,11,24,2,328,15048971
280000000,134.27922900000002,1405403694,141.0,7.3,6767,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,4,22,2,112,18295019
250000000,98.885637,933959197,153.0,7.4,5293,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,2009,7,7,1,188,14478067
250000000,155.790452,873260194,151.0,5.7,7004,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2016,3,23,2,83,18804913
